title	year	genre	instrumentation	duration	commission	url
Serenade for Strings	2007.11.09	Orchestra	String Orchestra			https://youtu.be/Yd7SyVjKW7E
Autumn Letter (가을편지)	2007.06.07	Vocal	Soprano, Piano			
Sonata for Flute, Guitar and Viola	2007.05.13	Chamber	Flute, Guitar, Viola		TIMF Ensemble	
Being and Becoming for Orchestra	1996	Orchestra	Orchestra			
Stillness in Movement for Bass Clarinet and Piano	2006.12.18	Chamber	Bass Clarinet, Piano			
Tears (눈물)	2006.11.16	Vocal	Soprano, Piano			
Three Songs for Mezzo Soprano and 9 Instrumentalists	2006.11.03	Vocal			TIMF Ensemble	
Rage (분노)	2006.11.02	Vocal	Bariton, Piano			
The Beatitude for Mixed 8 Singers and Piano	2006.09.30	Choir	Choir, Piano		Vocal Ensemble of Contemporary Music	https://youtu.be/zW3b7riq4DU?si=Cq9zYYbas7dIcpDa
Adieu for Two Pianos	2006.11.17	Chamber	2 Pianos		Korea Piano Duo Association	
Untitleds for Violin and Piano	2005.11.01	Chamber	Violin, Piano			
Repetitive Mutation for Flute Solo	2005.09.24	Solo	Flute			
Well-tempered Quartet for Strings	2005.09.12	Chamber	2 Violins, Viola, Violoncello		Ensmble Eclat	
Turning Point for Flute, Clarinet, Violin and Violoncello	2004.10.07	Chamber	Flute, Clarinet, Violin, Violoncello			
Cross Voice for Piano Solo	2004.12.06	Solo	Piano			
The Change of Time for Large Ensemble	2004.10.23	Chamber	Flute, Oboe, Clarinet, Basson, Horn, Trumpet, Trombone, Harp, Piano, Percussion, 2 Violins, Viola, Violoncello, Double Bass			
Das hohepriesterliche Gebet für Stimme, Flöte, Cembalo und Bratsche	2004.05.13	Vocal	Soprano, Flute, Viola, Harpsichord			
Delayed Illusion for Brass Quintet	200310	Chamber	2 Trumpets, Horn, Trombone, Tuba		Pan Music Festival	
The Sorrow of the Lost II for String Trio	200311	Chamber	Violin, Viola, Violoncello			
Dream for Soprano and Viola	2003.04.01	Vocal	Soprano, Viola		TIMF Ensemble	
The Sorrow of the Lost for Three Violas	2002.11.26	Chamber	3 Violas			
Yu-Sahng for Piano Four Hands	2002.11.22	Chamber	Piano 4 Hands			
청성곡 for Flute Solo and Electronics	2002.09. 12	Solo	Flute			
The Dragonfly before the Sun	1999.11.13	Solo	Piano			
Untitleds; Silence Is So Accurate for Viola and Piano	1999.04.15	Chamber	Viola, Piano			
Das hohepriesterliche Gebet für Chor	1997.04.11	Choir	Choir			
Stillness in Movement for Bassoon and Piano	1996.09.05	Chamber	Bassoon, Piano			
Lord's Prayer (주기도문)	1996	Choir	Choir			
Apostle's Creed	1996	Choir	Choir, Triangle, Tambourine			
Das hohepriesterliche Gebet for a cappella	1996	Choir	Choir			
Collection Mode for Electronic Sounds and Multislide	1994	Etc.	Electornics			
Yim for Soprano and Tape	1995	Vocal	Soprano, Electronics			
